bartels_rotation_number,rigidity_min GV,rigidity_max GV,antiproton_flux m^-2sr^-1s^-1GV^-1,antiproton_flux_error_statistical m^-2sr^-1s^-1GV^-1, antiproton_flux_error_systematic_timedependent m^-2sr^-1s^-1GV^-1,antiproton_flux_error_systematic_total m^-2sr^-1s^-1GV^-1
2426,1.0,1.92,0.0135,0.0039,0.0006,0.0013
2426,1.92,2.97,0.0121,0.0026,0.0006,0.001
2426,2.97,4.02,0.0201,0.003,0.0004,0.0011
2426,4.02,4.88,0.0137,0.0009,0.0002,0.0006
2426,4.88,5.9,0.0129,0.0007,0.0001,0.0006
2426,5.9,7.09,0.00984,0.0005,0.00027,0.00049
2426,7.09,8.48,0.00793,0.00036,0.00026,0.00041
2426,8.48,11.0,0.0049,0.00019,9e-05,0.0002
2426,11.0,16.6,0.00237,8e-05,4e-05,9e-05
2426,16.6,22.8,0.00098,4.4e-05,3.3e-05,4.6e-05
2426,22.8,41.9,0.000298,1.1e-05,8e-06,1.2e-05
2427,1.0,1.92,0.00955,0.00138,0.00047,0.0009
2427,1.92,2.97,0.0159,0.0013,0.0007,0.0013
2427,2.97,4.02,0.017,0.0013,0.0003,0.0009
2427,4.02,4.88,0.014,0.0006,0.0001,0.0006
2427,4.88,5.9,0.0119,0.0005,0.0001,0.0005
2427,5.9,7.09,0.00974,0.00036,0.00015,0.00043
2427,7.09,8.48,0.00727,0.00028,8e-05,0.0003
2427,8.48,11.0,0.00435,0.00015,6e-05,0.00018
2427,11.0,16.6,0.00206,7e-05,4e-05,8e-05
2427,16.6,22.8,0.000947,3.7e-05,2.5e-05,3.9e-05
2427,22.8,41.9,0.000245,9e-06,3e-06,8e-06
2428,1.0,1.92,0.0118,0.0016,0.0006,0.0011
2428,1.92,2.97,0.0173,0.0013,0.0007,0.0014
2428,2.97,4.02,0.0184,0.0013,0.0003,0.0009
2428,4.02,4.88,0.0153,0.0007,0.0002,0.0007
2428,4.88,5.9,0.0131,0.0005,0.0001,0.0006
2428,5.9,7.09,0.0095,0.00036,0.00017,0.00043
2428,7.09,8.48,0.00751,0.00027,0.00027,0.0004
2428,8.48,11.0,0.0047,0.00014,0.0001,0.0002
2428,11.0,16.6,0.00229,6e-05,4e-05,9e-05
2428,16.6,22.8,0.000983,3.4e-05,2.9e-05,4.3e-05
2428,22.8,41.9,0.000309,9e-06,7e-06,1.1e-05
2429,1.0,1.92,0.00884,0.00128,0.00042,0.00082
2429,1.92,2.97,0.0146,0.0012,0.0006,0.0011
2429,2.97,4.02,0.0179,0.0013,0.0003,0.0009
2429,4.02,4.88,0.0138,0.0006,0.0001,0.0006
2429,4.88,5.9,0.0127,0.0005,0.0001,0.0006
2429,5.9,7.09,0.0101,0.0004,0.0001,0.0004
2429,7.09,8.48,0.00725,0.00026,0.00013,0.00031
2429,8.48,11.0,0.00499,0.00015,5e-05,0.0002
2429,11.0,16.6,0.00211,6e-05,2e-05,8e-05
2429,16.6,22.8,0.000858,3.2e-05,1e-05,2.9e-05
2429,22.8,41.9,0.000249,8e-06,3e-06,8e-06
2430,1.0,1.92,0.00914,0.00124,0.00044,0.00085
2430,1.92,2.97,0.0155,0.0012,0.0007,0.0012
2430,2.97,4.02,0.0164,0.0012,0.0002,0.0008
2430,4.02,4.88,0.0146,0.0006,0.0001,0.0007
2430,4.88,5.9,0.0132,0.0005,0.0001,0.0006
2430,5.9,7.09,0.0108,0.0004,0.0001,0.0005
2430,7.09,8.48,0.00725,0.00025,0.00011,0.00031
2430,8.48,11.0,0.00451,0.00013,5e-05,0.00018
2430,11.0,16.6,0.00215,6e-05,3e-05,8e-05
2430,16.6,22.8,0.000848,3.1e-05,1.3e-05,3e-05
2430,22.8,41.9,0.000263,8e-06,4e-06,9e-06
2431,1.0,1.92,0.00859,0.00119,0.00041,0.0008
2431,1.92,2.97,0.0155,0.0012,0.0007,0.0012
2431,2.97,4.02,0.0174,0.0012,0.0003,0.0009
2431,4.02,4.88,0.0141,0.0006,0.0001,0.0006
2431,4.88,5.9,0.0135,0.0005,0.0001,0.0006
2431,5.9,7.09,0.00974,0.00034,0.00016,0.00043
2431,7.09,8.48,0.00685,0.00024,0.00011,0.00029
2431,8.48,11.0,0.00462,0.00013,5e-05,0.00018
2431,11.0,16.6,0.00205,6e-05,2e-05,8e-05
2431,16.6,22.8,0.000918,3.2e-05,2.1e-05,3.6e-05
2431,22.8,41.9,0.000255,8e-06,4e-06,8e-06
2432,1.0,1.92,0.0111,0.0013,0.0005,0.001
2432,1.92,2.97,0.0147,0.0011,0.0006,0.0012
2432,2.97,4.02,0.0149,0.0012,0.0003,0.0008
2432,4.02,4.88,0.0144,0.0006,0.0001,0.0007
2432,4.88,5.9,0.0124,0.0005,0.0001,0.0005
2432,5.9,7.09,0.00999,0.00035,0.00017,0.00045
2432,7.09,8.48,0.00718,0.00025,8e-05,0.0003
2432,8.48,11.0,0.00435,0.00014,4e-05,0.00017
2432,11.0,16.6,0.00212,6e-05,2e-05,8e-05
2432,16.6,22.8,0.000925,3.3e-05,1.1e-05,3.2e-05
2432,22.8,41.9,0.000251,8e-06,5e-06,9e-06
2433,1.0,1.92,0.00958,0.00129,0.00046,0.00089
2433,1.92,2.97,0.0155,0.0012,0.0007,0.0012
2433,2.97,4.02,0.0153,0.0012,0.0003,0.0008
2433,4.02,4.88,0.0149,0.0006,0.0001,0.0007
2433,4.88,5.9,0.0121,0.0005,0.0001,0.0005
2433,5.9,7.09,0.00992,0.00035,0.00017,0.00044
2433,7.09,8.48,0.00761,0.00027,9e-05,0.00031
2433,8.48,11.0,0.00479,0.00015,5e-05,0.00019
2433,11.0,16.6,0.00199,6e-05,3e-05,7e-05
2433,16.6,22.8,0.000893,3.3e-05,1.8e-05,3.4e-05
2433,22.8,41.9,0.000242,8e-06,6e-06,9e-06
2434,1.0,1.92,0.0097,0.00131,0.00046,0.0009
2434,1.92,2.97,0.0159,0.0013,0.0007,0.0013
2434,2.97,4.02,0.0187,0.0014,0.0003,0.001
2434,4.02,4.88,0.0139,0.0006,0.0001,0.0006
2434,4.88,5.9,0.0138,0.0005,0.0001,0.0006
2434,5.9,7.09,0.01,0.0004,0.0002,0.0005
2434,7.09,8.48,0.00701,0.00027,0.00011,0.0003
2434,8.48,11.0,0.0046,0.00015,5e-05,0.00018
2434,11.0,16.6,0.00219,6e-05,3e-05,8e-05
2434,16.6,22.8,0.000784,3.2e-05,1.5e-05,2.9e-05
2434,22.8,41.9,0.000259,9e-06,4e-06,9e-06
2435,1.0,1.92,0.0118,0.0014,0.0006,0.0011
2435,1.92,2.97,0.015,0.0012,0.0006,0.0012
2435,2.97,4.02,0.0156,0.0012,0.0003,0.0008
2435,4.02,4.88,0.0143,0.0006,0.0002,0.0007
2435,4.88,5.9,0.0126,0.0005,0.0001,0.0006
2435,5.9,7.09,0.0103,0.0004,0.0002,0.0005
2435,7.09,8.48,0.00673,0.00024,0.00012,0.00029
2435,8.48,11.0,0.00441,0.00014,4e-05,0.00017
2435,11.0,16.6,0.00206,6e-05,2e-05,7e-05
2435,16.6,22.8,0.000812,3e-05,1.5e-05,3e-05
2435,22.8,41.9,0.000254,8e-06,4e-06,8e-06
2436,1.0,1.92,0.00964,0.0013,0.00046,0.0009
2436,1.92,2.97,0.0148,0.0012,0.0006,0.0012
2436,2.97,4.02,0.016,0.0012,0.0002,0.0008
2436,4.02,4.88,0.0131,0.0006,0.0001,0.0006
2436,4.88,5.9,0.0127,0.0005,0.0001,0.0006
2436,5.9,7.09,0.00994,0.00035,0.0002,0.00045
2436,7.09,8.48,0.00651,0.00024,8e-05,0.00027
2436,8.48,11.0,0.00456,0.00014,5e-05,0.00018
2436,11.0,16.6,0.00209,6e-05,2e-05,8e-05
2436,16.6,22.8,0.000805,3e-05,1.8e-05,3.2e-05
2436,22.8,41.9,0.000267,8e-06,4e-06,9e-06
2437,1.0,1.92,0.0109,0.0016,0.0005,0.001
2437,1.92,2.97,0.0139,0.0013,0.0006,0.0011
2437,2.97,4.02,0.0136,0.0012,0.0002,0.0007
2437,4.02,4.88,0.013,0.0006,0.0002,0.0006
2437,4.88,5.9,0.0123,0.0005,0.0001,0.0005
2437,5.9,7.09,0.00864,0.00035,0.00017,0.0004
2437,7.09,8.48,0.00678,0.00026,0.00011,0.00029
2437,8.48,11.0,0.00437,0.00014,5e-05,0.00017
2437,11.0,16.6,0.00197,6e-05,2e-05,7e-05
2437,16.6,22.8,0.000834,3.2e-05,1.3e-05,3e-05
2437,22.8,41.9,0.000256,8e-06,5e-06,9e-06
2438,1.0,1.92,0.0107,0.0014,0.0005,0.001
2438,1.92,2.97,0.0155,0.0013,0.0007,0.0012
2438,2.97,4.02,0.0169,0.0013,0.0003,0.0009
2438,4.02,4.88,0.0133,0.0006,0.0001,0.0006
2438,4.88,5.9,0.0132,0.0005,0.0001,0.0006
2438,5.9,7.09,0.0103,0.0004,0.0002,0.0005
2438,7.09,8.48,0.00742,0.00025,8e-05,0.0003
2438,8.48,11.0,0.00416,0.00013,5e-05,0.00016
2438,11.0,16.6,0.00205,6e-05,2e-05,7e-05
2438,16.6,22.8,0.000899,3.2e-05,1.8e-05,3.4e-05
2438,22.8,41.9,0.000262,8e-06,4e-06,9e-06
2439,1.0,1.92,0.00928,0.00137,0.00046,0.00087
2439,1.92,2.97,0.0143,0.0012,0.0006,0.0011
2439,2.97,4.02,0.0166,0.0013,0.0003,0.0009
2439,4.02,4.88,0.0148,0.0007,0.0001,0.0007
2439,4.88,5.9,0.0136,0.0005,0.0001,0.0006
2439,5.9,7.09,0.01,0.0004,0.0002,0.0004
2439,7.09,8.48,0.00696,0.00024,0.00014,0.00031
2439,8.48,11.0,0.00451,0.00014,5e-05,0.00018
2439,11.0,16.6,0.0021,6e-05,2e-05,8e-05
2439,16.6,22.8,0.000815,2.9e-05,1.5e-05,3e-05
2439,22.8,41.9,0.000255,8e-06,5e-06,9e-06
2440,1.0,1.92,0.00909,0.00133,0.00044,0.00085
2440,1.92,2.97,0.0158,0.0012,0.0007,0.0012
2440,2.97,4.02,0.016,0.0013,0.0003,0.0008
2440,4.02,4.88,0.0133,0.0006,0.0001,0.0006
2440,4.88,5.9,0.013,0.0005,0.0001,0.0006
2440,5.9,7.09,0.00984,0.00036,0.0002,0.00045
2440,7.09,8.48,0.00703,0.00025,9e-05,0.00029
2440,8.48,11.0,0.00455,0.00014,8e-05,0.00019
2440,11.0,16.6,0.00206,6e-05,3e-05,8e-05
2440,16.6,22.8,0.000919,3.3e-05,1.6e-05,3.3e-05
2440,22.8,41.9,0.000245,8e-06,4e-06,8e-06
2441,1.0,1.92,0.00874,0.00128,0.00042,0.00082
2441,1.92,2.97,0.0156,0.0012,0.0007,0.0012
2441,2.97,4.02,0.0152,0.0012,0.0003,0.0008
2441,4.02,4.88,0.0139,0.0006,0.0001,0.0006
2441,4.88,5.9,0.0128,0.0005,0.0001,0.0006
2441,5.9,7.09,0.0104,0.0004,0.0002,0.0005
2441,7.09,8.48,0.00669,0.00024,7e-05,0.00027
2441,8.48,11.0,0.00442,0.00014,5e-05,0.00017
2441,11.0,16.6,0.00204,6e-05,2e-05,7e-05
2441,16.6,22.8,0.000841,3.1e-05,1.4e-05,3.1e-05
2441,22.8,41.9,0.000264,8e-06,4e-06,9e-06
2442,1.0,1.92,0.00737,0.00114,0.00036,0.00069
2442,1.92,2.97,0.0137,0.0012,0.0006,0.0011
2442,2.97,4.02,0.0125,0.0011,0.0003,0.0007
2442,4.02,4.88,0.0128,0.0006,0.0002,0.0006
2442,4.88,5.9,0.0116,0.0005,0.0001,0.0005
2442,5.9,7.09,0.00967,0.00036,0.00016,0.00043
2442,7.09,8.48,0.00703,0.00025,8e-05,0.00029
2442,8.48,11.0,0.00442,0.00014,4e-05,0.00017
2442,11.0,16.6,0.00205,6e-05,2e-05,7e-05
2442,16.6,22.8,0.000944,3.4e-05,1.6e-05,3.4e-05
2442,22.8,41.9,0.000247,8e-06,5e-06,9e-06
2443,1.0,1.92,0.00761,0.00105,0.00036,0.00071
2443,1.92,2.97,0.0144,0.0011,0.0006,0.0011
2443,2.97,4.02,0.0148,0.0012,0.0003,0.0008
2443,4.02,4.88,0.0133,0.0006,0.0001,0.0006
2443,4.88,5.9,0.0115,0.0005,0.0001,0.0005
2443,5.9,7.09,0.00899,0.00034,0.0002,0.00042
2443,7.09,8.48,0.00705,0.00025,9e-05,0.00029
2443,8.48,11.0,0.00455,0.00014,5e-05,0.00018
2443,11.0,16.6,0.00196,6e-05,2e-05,7e-05
2443,16.6,22.8,0.000931,3.3e-05,1.7e-05,3.4e-05
2443,22.8,41.9,0.000254,8e-06,5e-06,9e-06
2444,1.0,1.92,0.00774,0.00106,0.00037,0.00072
2444,1.92,2.97,0.0144,0.0011,0.0006,0.0011
2444,2.97,4.02,0.014,0.0011,0.0002,0.0007
2444,4.02,4.88,0.0138,0.0006,0.0001,0.0006
2444,4.88,5.9,0.0125,0.0005,0.0001,0.0005
2444,5.9,7.09,0.00919,0.00034,0.00017,0.00042
2444,7.09,8.48,0.00699,0.00024,8e-05,0.00029
2444,8.48,11.0,0.00452,0.00013,3e-05,0.00017
2444,11.0,16.6,0.00217,6e-05,2e-05,8e-05
2444,16.6,22.8,0.000865,3e-05,1e-05,2.9e-05
2444,22.8,41.9,0.000254,8e-06,5e-06,9e-06
2445,1.0,1.92,0.00868,0.00135,0.00041,0.00081
2445,1.92,2.97,0.0168,0.0014,0.0007,0.0013
2445,2.97,4.02,0.0175,0.0014,0.0002,0.0009
2445,4.02,4.88,0.0144,0.0007,0.0001,0.0007
2445,4.88,5.9,0.012,0.0005,0.0001,0.0005
2445,5.9,7.09,0.01,0.0004,0.0002,0.0005
2445,7.09,8.48,0.00739,0.00026,0.00014,0.00032
2445,8.48,11.0,0.00436,0.00014,4e-05,0.00017
2445,11.0,16.6,0.00216,6e-05,2e-05,8e-05
2445,16.6,22.8,0.000902,3.2e-05,1.2e-05,3.2e-05
2445,22.8,41.9,0.000234,8e-06,4e-06,8e-06
2446,1.0,1.92,0.00728,0.00104,0.00035,0.00068
2446,1.92,2.97,0.015,0.0011,0.0006,0.0012
2446,2.97,4.02,0.0157,0.0012,0.0003,0.0008
2446,4.02,4.88,0.0141,0.0006,0.0001,0.0007
2446,4.88,5.9,0.012,0.0005,0.0001,0.0005
2446,5.9,7.09,0.00904,0.00033,0.00017,0.00041
2446,7.09,8.48,0.00725,0.00024,0.00011,0.00031
2446,8.48,11.0,0.00445,0.00013,4e-05,0.00017
2446,11.0,16.6,0.00201,6e-05,2e-05,7e-05
2446,16.6,22.8,0.000946,3.2e-05,1.6e-05,3.4e-05
2446,22.8,41.9,0.000256,8e-06,3e-06,8e-06
2447,1.0,1.92,0.00801,0.00101,0.00038,0.00074
2447,1.92,2.97,0.0123,0.001,0.0005,0.001
2447,2.97,4.02,0.0116,0.0011,0.0003,0.0007
2447,4.02,4.88,0.0138,0.0006,0.0001,0.0006
2447,4.88,5.9,0.0118,0.0005,0.0001,0.0005
2447,5.9,7.09,0.00949,0.00034,0.00018,0.00043
2447,7.09,8.48,0.00724,0.00024,8e-05,0.0003
2447,8.48,11.0,0.00433,0.00013,5e-05,0.00017
2447,11.0,16.6,0.00214,6e-05,2e-05,8e-05
2447,16.6,22.8,0.000867,3e-05,1.4e-05,3.1e-05
2447,22.8,41.9,0.000269,8e-06,4e-06,9e-06
2448,1.0,1.92,0.0084,0.0011,0.0004,0.00078
2448,1.92,2.97,0.0125,0.0011,0.0005,0.001
2448,2.97,4.02,0.0154,0.0012,0.0003,0.0008
2448,4.02,4.88,0.0142,0.0006,0.0002,0.0007
2448,4.88,5.9,0.012,0.0005,0.0001,0.0005
2448,5.9,7.09,0.00976,0.00035,0.00011,0.00042
2448,7.09,8.48,0.00696,0.00023,7e-05,0.00028
2448,8.48,11.0,0.00466,0.00013,4e-05,0.00018
2448,11.0,16.6,0.00207,5e-05,1e-05,7e-05
2448,16.6,22.8,0.000862,3e-05,1.3e-05,3.1e-05
2448,22.8,41.9,0.000246,7e-06,4e-06,8e-06
2449,1.0,1.92,0.00826,0.00103,0.00039,0.00077
2449,1.92,2.97,0.0138,0.0011,0.0006,0.0011
2449,2.97,4.02,0.019,0.0011,0.0002,0.001
2449,4.02,4.88,0.015,0.0006,0.0001,0.0007
2449,4.88,5.9,0.0128,0.0005,0.0001,0.0006
2449,5.9,7.09,0.00995,0.00034,0.00016,0.00044
2449,7.09,8.48,0.00701,0.00023,5e-05,0.00028
2449,8.48,11.0,0.00437,0.00013,5e-05,0.00017
2449,11.0,16.6,0.00214,6e-05,2e-05,8e-05
2449,16.6,22.8,0.000884,3e-05,1.5e-05,3.2e-05
2449,22.8,41.9,0.000251,8e-06,3e-06,8e-06
2450,1.0,1.92,0.00886,0.00117,0.00041,0.00082
2450,1.92,2.97,0.0163,0.0012,0.0007,0.0013
2450,2.97,4.02,0.014,0.0012,0.0003,0.0007
2450,4.02,4.88,0.0138,0.0006,0.0001,0.0006
2450,4.88,5.9,0.0122,0.0005,0.0001,0.0005
2450,5.9,7.09,0.00947,0.00035,0.00018,0.00043
2450,7.09,8.48,0.00658,0.00024,0.0001,0.00028
2450,8.48,11.0,0.00457,0.00014,5e-05,0.00018
2450,11.0,16.6,0.00226,6e-05,2e-05,8e-05
2450,16.6,22.8,0.000852,3.2e-05,1.7e-05,3.2e-05
2450,22.8,41.9,0.000241,8e-06,3e-06,8e-06
2451,1.0,1.92,0.00951,0.00137,0.00045,0.00088
2451,1.92,2.97,0.0151,0.0013,0.0006,0.0012
2451,2.97,4.02,0.0159,0.0013,0.0003,0.0008
2451,4.02,4.88,0.0128,0.0006,0.0002,0.0006
2451,4.88,5.9,0.0121,0.0005,0.0001,0.0005
2451,5.9,7.09,0.00967,0.00037,0.00018,0.00044
2451,7.09,8.48,0.00661,0.00024,0.0001,0.00028
2451,8.48,11.0,0.00444,0.00014,5e-05,0.00017
2451,11.0,16.6,0.0022,6e-05,2e-05,8e-05
2451,16.6,22.8,0.000905,3.2e-05,1.1e-05,3.1e-05
2451,22.8,41.9,0.000253,8e-06,3e-06,8e-06
2452,1.0,1.92,0.00717,0.00103,0.00035,0.00067
2452,1.92,2.97,0.0162,0.0012,0.0007,0.0013
2452,2.97,4.02,0.0159,0.0012,0.0003,0.0008
2452,4.02,4.88,0.0141,0.0006,0.0001,0.0006
2452,4.88,5.9,0.0123,0.0005,0.0001,0.0005
2452,5.9,7.09,0.0093,0.00034,0.00017,0.00042
2452,7.09,8.48,0.00678,0.00024,6e-05,0.00028
2452,8.48,11.0,0.00455,0.00013,5e-05,0.00018
2452,11.0,16.6,0.00217,6e-05,2e-05,8e-05
2452,16.6,22.8,0.000824,2.9e-05,7e-06,2.7e-05
2452,22.8,41.9,0.000254,8e-06,4e-06,8e-06
2453,1.0,1.92,0.00783,0.0012,0.00037,0.00073
2453,1.92,2.97,0.0141,0.0012,0.0006,0.0011
2453,2.97,4.02,0.0158,0.0011,0.0002,0.0008
2453,4.02,4.88,0.0128,0.0006,0.0001,0.0006
2453,4.88,5.9,0.0113,0.0005,0.0001,0.0005
2453,5.9,7.09,0.0082,0.00032,0.00017,0.00038
2453,7.09,8.48,0.00611,0.00022,8e-05,0.00025
2453,8.48,11.0,0.00424,0.00013,3e-05,0.00016
2453,11.0,16.6,0.00207,6e-05,3e-05,8e-05
2453,16.6,22.8,0.000804,2.9e-05,1.2e-05,2.9e-05
2453,22.8,41.9,0.000232,7e-06,3e-06,7e-06
2454,1.0,1.92,0.00551,0.00096,0.00028,0.00052
2454,1.92,2.97,0.0106,0.001,0.0005,0.0008
2454,2.97,4.02,0.013,0.0012,0.0003,0.0007
2454,4.02,4.88,0.0123,0.0006,0.0001,0.0006
2454,4.88,5.9,0.0118,0.0005,0.0001,0.0005
2454,5.9,7.09,0.00967,0.00035,0.00019,0.00044
2454,7.09,8.48,0.00661,0.00024,0.00012,0.00029
2454,8.48,11.0,0.0041,0.00013,5e-05,0.00016
2454,11.0,16.6,0.00209,6e-05,2e-05,8e-05
2454,16.6,22.8,0.000826,3e-05,1.8e-05,3.2e-05
2454,22.8,41.9,0.000257,8e-06,4e-06,9e-06
2455,1.0,1.92,0.00676,0.00114,0.00034,0.00064
2455,1.92,2.97,0.0125,0.0011,0.0005,0.001
2455,2.97,4.02,0.0152,0.0011,0.0002,0.0008
2455,4.02,4.88,0.0138,0.0006,0.0001,0.0006
2455,4.88,5.9,0.011,0.0005,0.0001,0.0005
2455,5.9,7.09,0.00922,0.00034,0.00015,0.00041
2455,7.09,8.48,0.0069,0.00024,8e-05,0.00029
2455,8.48,11.0,0.00395,0.00013,4e-05,0.00015
2455,11.0,16.6,0.00211,6e-05,2e-05,8e-05
2455,16.6,22.8,0.000883,3.1e-05,1.5e-05,3.2e-05
2455,22.8,41.9,0.000244,8e-06,4e-06,8e-06
2456,1.0,1.92,0.00651,0.00102,0.00033,0.00062
2456,1.92,2.97,0.0123,0.001,0.0005,0.001
2456,2.97,4.02,0.0149,0.0012,0.0003,0.0008
2456,4.02,4.88,0.0135,0.0006,0.0001,0.0006
2456,4.88,5.9,0.0118,0.0005,0.0001,0.0005
2456,5.9,7.09,0.00912,0.00034,0.00015,0.0004
2456,7.09,8.48,0.00674,0.00024,8e-05,0.00028
2456,8.48,11.0,0.00414,0.00013,5e-05,0.00016
2456,11.0,16.6,0.0021,6e-05,2e-05,8e-05
2456,16.6,22.8,0.00084,3.1e-05,1.6e-05,3.1e-05
2456,22.8,41.9,0.000237,8e-06,3e-06,8e-06
2457,1.0,1.92,0.00816,0.00108,0.0004,0.00077
2457,1.92,2.97,0.0142,0.0011,0.0006,0.0011
2457,2.97,4.02,0.0134,0.0011,0.0003,0.0007
2457,4.02,4.88,0.0129,0.0006,0.0001,0.0006
2457,4.88,5.9,0.012,0.0005,0.0001,0.0005
2457,5.9,7.09,0.00892,0.00033,0.00017,0.00041
2457,7.09,8.48,0.00659,0.00024,6e-05,0.00027
2457,8.48,11.0,0.00447,0.00014,5e-05,0.00018
2457,11.0,16.6,0.00215,6e-05,2e-05,8e-05
2457,16.6,22.8,0.00084,3.1e-05,9e-06,2.8e-05
2457,22.8,41.9,0.000258,8e-06,3e-06,8e-06
2458,1.0,1.92,0.00666,0.00099,0.00032,0.00062
2458,1.92,2.97,0.0122,0.001,0.0005,0.001
2458,2.97,4.02,0.0138,0.0011,0.0002,0.0007
2458,4.02,4.88,0.0128,0.0006,0.0001,0.0006
2458,4.88,5.9,0.0117,0.0005,0.0001,0.0005
2458,5.9,7.09,0.00921,0.00034,0.00016,0.00041
2458,7.09,8.48,0.007,0.00024,8e-05,0.00029
2458,8.48,11.0,0.00431,0.00013,5e-05,0.00017
2458,11.0,16.6,0.00218,6e-05,3e-05,8e-05
2458,16.6,22.8,0.000874,3.1e-05,1.3e-05,3.1e-05
2458,22.8,41.9,0.000255,8e-06,6e-06,1e-05
2459,1.0,1.92,0.00667,0.00103,0.00032,0.00062
2459,1.92,2.97,0.0118,0.001,0.0005,0.0009
2459,2.97,4.02,0.0147,0.0012,0.0002,0.0008
2459,4.02,4.88,0.0131,0.0006,0.0002,0.0006
2459,4.88,5.9,0.012,0.0005,0.0001,0.0005
2459,5.9,7.09,0.00876,0.00034,0.00013,0.00038
2459,7.09,8.48,0.00716,0.00027,9e-05,0.0003
2459,8.48,11.0,0.00417,0.00014,4e-05,0.00016
2459,11.0,16.6,0.0021,6e-05,2e-05,8e-05
2459,16.6,22.8,0.00085,3.3e-05,1.3e-05,3e-05
2459,22.8,41.9,0.000254,9e-06,5e-06,9e-06
2460,1.0,1.92,0.00665,0.00096,0.00033,0.00062
2460,1.92,2.97,0.0139,0.001,0.0006,0.0011
